Transaction_Date|Store_id|StorageLocation|ItemCode|VBN|MANU_DATE|EXPR_DATE|Qty|Remarks1|Remarks2|Remarks3
09222020|WHCPT01|StorageLocation|21075851_twin|80|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21075858_bund|81|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21075858_twin|82|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21116143_twin|83|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21132655_twin|84|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21132689_twin|85|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21133327_twin|86|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21133717_twin|87|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21133718_twin|88|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21133719_bund|89|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21133719_promay18|90|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21133719_twin|91|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21135956_twin|92|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21137648_twin|93|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21138171_twin|94|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21138337_multi|95|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21138339_multi|96|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21138470_free|97|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21139011_twin|98|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21140073_multi|99|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21140194_multi|100|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21142584_twin|101|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21142585_twin|102|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145568_twin|103|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145579_multi|104|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145579_twin|105|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145581_bund|106|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145581_twin|107|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145589_bund|108|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145589_twin|109|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145590_twin|110|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21145901_twin|111|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21146330_free|112|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21146339_bund|113|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21146343_bund|114|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21146343_free|115|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21146343_promay18|116|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21148071_twin|117|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21148072_twin|118|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21148092_twin|119|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21148327_multi|120|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21149762_free|121|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21149805_twin|122|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150112_twin|123|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150113_bund|124|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150113_twin|125|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150114_twin|126|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150115_twin|127|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150118_twin|128|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150278_bund|129|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21150278_twin|130|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21151529_twin|131|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21152534_twin|132|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21152891_bund|133|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21152891_twin|134|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21152892_twin|135|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21152893_twin|136|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21154993_bund|137|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21155380_bund|138|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21155395_bund|139|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21182196_multi|140|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21183200_twin|141|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21183577_promay18|142|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21183577_twin|143|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21183853_twin|144|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21184170_twin|145|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21184453_twin|146|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21185705_twin|147|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21185707_twin|148|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21185961_twin|149|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21185972_twin|150|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21185973_twin|151|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186113_twin|152|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186246_free|153|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186334_twin|154|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186335_twin|155|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186435_twin|156|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186436_twin|157|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186437_twin|158|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21186439_twin|159|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21187170_promay18|160|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21187170_twin|161|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21187267_twin|162|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|21742311_twin|163|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60023403_twin|164|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60023453_twin|165|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024417_twin|166|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024437_twin|167|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024438_twin|168|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024446_twin|169|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024454_twin|170|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024540_twin|171|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024541_twin|172|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024747_twin|173|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024765_twin|174|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024768_twin|175|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|60024792_multi|176|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62010050_promay18|177|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62010050_twin|178|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62040691_twin|179|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62040692_twin|180|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62040694_twin|181|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62040785_twin|182|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62040791_bund|183|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62040791_twin|184|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62071095_twin|185|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62071908_twin|186|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|62072034_twin|187|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67002716_twin|188|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005540_twin|189|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005542_bund|190|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005542_twin|191|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005544_twin|192|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005545_promay18|193|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005839_bund|194|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005839_twin|195|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67005841_twin|196|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009808_free|197|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009849_free|198|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009849_promay18|199|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009861_twin|200|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009867_bund|201|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009918_twin|202|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67009919_twin|203|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67010345_bund|204|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67010345_free|205|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67016286_bund|206|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67016288_multi|207|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67016288_twin|208|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67020556_free|209|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67020558_bund|210|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67020558_free|211|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67021016_free|212|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67021018_bund|213|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67021018_free|214|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67021193_free|215|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67021195_bund|216|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67021266_bund|217|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67024406_bund|218|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67024406_free|219|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67024840_twin|220|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67024841_bund|221|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67024922_bund|222|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67024922_twin|223|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67030620_bund|224|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67030622_twin|225|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67030955_multi|226|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67033210_twin|227|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67033212_twin|228|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67033214_twin|229|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67033216_twin|230|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67033218_twin|231|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67041440_twin|232|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67041474_twin|233|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67050914_twin|234|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67053685_twin|235|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67053687_bund|236|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67054378_twin|237|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67057329_twin|238|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67059292_twin|239|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67064979_bund|240|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67064979_twin|241|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67064981_bund|242|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67067512_promay18|243|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67067519_twin|244|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67070805_bund|245|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67070805_free|246|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67070812_bund|247|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67070812_free|248|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67074909_bund|249|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67074928_bund|250|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67086773_bund|251|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67088660_twin|252|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67089698_twin|253|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67095033_twin|254|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67095035_twin|255|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67095039_twin|256|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67095053_bund|257|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67112405_bund|258|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67117284_twin|259|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67117287_twin|260|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67126745_twin|261|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67152971_promay18|262|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67163736_bund|263|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67206111_promay18|264|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67206111_twin|265|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67206113_promay18|266|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67206113_twin|267|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67291522_promay18|268|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67310658_twin|269|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67310660_twin|270|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|67510893_Pouch|271|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|TWAX1095_twin|272|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|KIT-0001|273|20200922|20200922|1|||
09222020|WHCPT01|StorageLocation|BRHOUSE8|274|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|DILIONBLU 36|275|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|FLWRL1112|276|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|GRDINO 56|277|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|PUNGELL36|278|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|PUNGELL48|279|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|STANDARD|280|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|20068222|281|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|tspi1|282|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|VARFRUITS11-12|283|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|XXX-1IKONTEST|284|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|RBPK36|285|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|RBPK48|286|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|RBPK910|287|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|MIKCHOC78|288|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|MIKCHOC1112|289|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|STRIPWMELON578|290|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YECOTRE24|291|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YECOTRE48|292|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YECOTRE56|293|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YECOTRE78|294|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YECOTRE910|295|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YECOTRE1112|296|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|PLION BLUE48|297|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|YEOWBAT910|298|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|COKLATDIN0910|299|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|MOTIF040156|300|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|MOTIF05542|301|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|MOTI01124|302|20200922|20200922|0|||
09222020|WHCPT01|StorageLocation|MOTI01136|303|20200922|20200922|0|||
