Order_type|Inbound_order|Inbound_item|Store_id|StorageLocation|ItemCode|Qty|UOM|PO_NUMBER|PO_ITEM|DELIV_DATE|HEADER_TEXT|ITEM_TEXT|VBN|MANU_DATE|EXPR_DATE|Remarks1|Remarks2|Remarks3
O|0180170471|000010|0056|0001|AVGHR208/A/S|1|PC|2000049734|000010|20201226||||||||
O|0180170471|000020|0056|0001|AVGS089/A/13|2|PC|2000049734|000020|20201226||||||||
O|0180170471|000030|0056|0001|AVGS089/A/11|2|PC|2000049734|000030|20201226||||||||
O|0180170471|000040|0056|0001|AVGHR208/A/M|1|PC|2000049734|000040|20201226||||||||
O|0180170471|000050|0056|0001|AVGHR208/A/L|1|PC|2000049734|000050|20201226||||||||
O|0180170471|000060|0056|0001|AVGHR208/A/5|2|PC|2000049734|000060|20201226||||||||
O|0180170471|000070|0056|0001|AVGS089/A/9|2|PC|2000049734|000070|20201226||||||||
O|0180170471|000080|0056|0001|AVGS089/A/7|2|PC|2000049734|000080|20201226||||||||
O|0180170471|000090|0056|0001|AVGS089/A/5|2|PC|2000049734|000090|20201226||||||||
O|0180170471|000100|0056|0001|AVGS089/A/L|1|PC|2000049734|000100|20201226||||||||
O|0180170471|000110|0056|0001|AVGS089/A/M|1|PC|2000049734|000110|20201226||||||||
O|0180170471|000120|0056|0001|AVGS089/A/S|1|PC|2000049734|000120|20201226||||||||
O|0180170471|000130|0056|0001|AVGHR208/A/7|2|PC|2000049734|000130|20201226||||||||
O|0180170471|000140|0056|0001|AVGHR208/A/9|2|PC|2000049734|000140|20201226||||||||
O|0180170471|000150|0056|0001|AVGHR208/A/11|2|PC|2000049734|000150|20201226||||||||
O|0180170471|000160|0056|0001|AVGHR208/A/13|2|PC|2000049734|000160|20201226||||||||
O|0180170471|000170|0056|0001|SPDRN295/MT/A/S|1|PC|2000049734|000170|20201226||||||||
O|0180170471|000180|0056|0001|SPDRN295/MT/A/M|1|PC|2000049734|000180|20201226||||||||
O|0180170471|000190|0056|0001|SPDRN295/MT/A/L|1|PC|2000049734|000190|20201226||||||||
O|0180170471|000200|0056|0001|SPDRN295/MT/A/5|2|PC|2000049734|000200|20201226||||||||
O|0180170471|000210|0056|0001|SPDRN295/MT/A/7|2|PC|2000049734|000210|20201226||||||||
O|0180170471|000220|0056|0001|SPDRN295/MT/A/9|2|PC|2000049734|000220|20201226||||||||
O|0180170471|000230|0056|0001|SPDRN295/MT/A/11|2|PC|2000049734|000230|20201226||||||||
O|0180170471|000240|0056|0001|SPDRN295/MT/A/13|2|PC|2000049734|000240|20201226||||||||
O|0180170471|000250|0056|0001|SPDRN295/NV/A/S|1|PC|2000049734|000250|20201226||||||||
O|0180170471|000260|0056|0001|SPDRN295/NV/A/M|1|PC|2000049734|000260|20201226||||||||
O|0180170471|000270|0056|0001|SPDRN295/NV/A/L|1|PC|2000049734|000270|20201226||||||||
O|0180170471|000280|0056|0001|SPDRN295/NV/A/5|2|PC|2000049734|000280|20201226||||||||
O|0180170471|000290|0056|0001|SPDRN295/NV/A/7|2|PC|2000049734|000290|20201226||||||||
O|0180170471|000300|0056|0001|SPDRN295/NV/A/9|2|PC|2000049734|000300|20201226||||||||
O|0180170471|000310|0056|0001|SPDRN295/NV/A/11|2|PC|2000049734|000310|20201226||||||||
O|0180170471|000320|0056|0001|SPDRN295/NV/A/13|2|PC|2000049734|000320|20201226||||||||
O|0180170471|000330|0056|0001|SPDRS145/A/S|1|PC|2000049734|000330|20201226||||||||
O|0180170471|000340|0056|0001|SPDRS145/A/M|1|PC|2000049734|000340|20201226||||||||
O|0180170471|000350|0056|0001|SPDRS145/A/L|1|PC|2000049734|000350|20201226||||||||
O|0180170471|000360|0056|0001|SPDRS145/A/5|2|PC|2000049734|000360|20201226||||||||
O|0180170471|000370|0056|0001|SPDRS145/A/7|2|PC|2000049734|000370|20201226||||||||
O|0180170471|000380|0056|0001|SPDRS145/A/9|2|PC|2000049734|000380|20201226||||||||
O|0180170471|000390|0056|0001|SPDRS145/A/11|2|PC|2000049734|000390|20201226||||||||
O|0180170471|000400|0056|0001|SPDRS145/A/13|2|PC|2000049734|000400|20201226||||||||
O|0180170471|000410|0056|0001|SPDRS070/A/S|1|PC|2000049734|000410|20201226||||||||
O|0180170471|000420|0056|0001|SPDRS070/A/M|1|PC|2000049734|000420|20201226||||||||
O|0180170471|000430|0056|0001|SPDRS070/A/L|1|PC|2000049734|000430|20201226||||||||
O|0180170471|000440|0056|0001|SPDRS070/A/5|2|PC|2000049734|000440|20201226||||||||
O|0180170471|000450|0056|0001|SPDRS070/A/7|2|PC|2000049734|000450|20201226||||||||
O|0180170471|000460|0056|0001|SPDRS070/A/9|2|PC|2000049734|000460|20201226||||||||
O|0180170471|000470|0056|0001|SPDRS070/A/11|2|PC|2000049734|000470|20201226||||||||
O|0180170471|000480|0056|0001|SPDRS070/A/13|2|PC|2000049734|000480|20201226||||||||
O|0180170471|000490|0056|0001|SPDRN276/A/S|1|PC|2000049734|000490|20201226||||||||
O|0180170471|000500|0056|0001|SPDRN276/A/M|1|PC|2000049734|000500|20201226||||||||
O|0180170471|000510|0056|0001|SPDRN276/A/L|1|PC|2000049734|000510|20201226||||||||
O|0180170471|000520|0056|0001|SPDRN276/A/5|2|PC|2000049734|000520|20201226||||||||
O|0180170471|000530|0056|0001|SPDRN276/A/7|2|PC|2000049734|000530|20201226||||||||
O|0180170471|000540|0056|0001|SPDRN276/A/9|2|PC|2000049734|000540|20201226||||||||
O|0180170471|000550|0056|0001|SPDRN276/A/11|2|PC|2000049734|000550|20201226||||||||
O|0180170471|000560|0056|0001|SPDRN276/A/13|2|PC|2000049734|000560|20201226||||||||
O|0180170471|000570|0056|0001|AVGS087/A/S|1|PC|2000049734|000570|20201226||||||||
O|0180170471|000580|0056|0001|AVGS087/A/M|1|PC|2000049734|000580|20201226||||||||
O|0180170471|000590|0056|0001|AVGS087/A/L|1|PC|2000049734|000590|20201226||||||||
O|0180170471|000600|0056|0001|AVGS087/A/5|2|PC|2000049734|000600|20201226||||||||
O|0180170471|000610|0056|0001|AVGS087/A/7|2|PC|2000049734|000610|20201226||||||||
O|0180170471|000620|0056|0001|AVGS087/A/9|2|PC|2000049734|000620|20201226||||||||
O|0180170471|000630|0056|0001|AVGS087/A/11|2|PC|2000049734|000630|20201226||||||||
O|0180170471|000640|0056|0001|AVGS087/A/13|2|PC|2000049734|000640|20201226||||||||
O|0180170471|000650|0056|0001|AVGHR03/A/S|2|PC|2000049734|000650|20201226||||||||
O|0180170471|000660|0056|0001|AVGHR03/A/M|2|PC|2000049734|000660|20201226||||||||
O|0180170471|000670|0056|0001|AVGHR03/A/L|2|PC|2000049734|000670|20201226||||||||
O|0180170471|000680|0056|0001|AVGHR03/A/5|2|PC|2000049734|000680|20201226||||||||
