Order_type|Inbound_order|Inbound_item|Store_id|StorageLocation|ItemCode|Qty|UOM|PO_NUMBER|PO_ITEM|DELIV_DATE|HEADER_TEXT|ITEM_TEXT|VBN|MANU_DATE|EXPR_DATE|Remarks1|Remarks2|Remarks3
O|0180170532|000010|0056|0001|30304602N1|8|PC|2000049795|000010|20201226||||||||
O|0180170532|000020|0056|0001|30304602N3|8|PC|2000049795|000020|20201226||||||||
O|0180170532|000030|0056|0001|30304602N4|8|PC|2000049795|000030|20201226||||||||
O|0180170532|000040|0056|0001|30304602N6|8|PC|2000049795|000040|20201226||||||||
O|0180170532|000050|0056|0001|30304602N8|8|PC|2000049795|000050|20201226||||||||
O|0180170532|000060|0056|0001|30304602NS|8|PC|2000049795|000060|20201226||||||||
O|0180170532|000070|0056|0001|31003432H1|8|PC|2000049795|000070|20201226||||||||
O|0180170532|000080|0056|0001|31003432H3|8|PC|2000049795|000080|20201226||||||||
O|0180170532|000090|0056|0001|31003432H4|8|PC|2000049795|000090|20201226||||||||
O|0180170532|000100|0056|0001|31003432H6|8|PC|2000049795|000100|20201226||||||||
O|0180170532|000110|0056|0001|31003432H8|8|PC|2000049795|000110|20201226||||||||
O|0180170532|000120|0056|0001|31003432HS|8|PC|2000049795|000120|20201226||||||||
O|0180170532|000130|0056|0001|31003432K1|8|PC|2000049795|000130|20201226||||||||
O|0180170532|000140|0056|0001|31003432K3|8|PC|2000049795|000140|20201226||||||||
O|0180170532|000150|0056|0001|31003432K4|8|PC|2000049795|000150|20201226||||||||
O|0180170532|000160|0056|0001|31003432K6|8|PC|2000049795|000160|20201226||||||||
O|0180170532|000170|0056|0001|31003432K8|8|PC|2000049795|000170|20201226||||||||
O|0180170532|000180|0056|0001|31003432KS|8|PC|2000049795|000180|20201226||||||||
O|0180170532|000190|0056|0001|31003432W1|8|PC|2000049795|000190|20201226||||||||
O|0180170532|000200|0056|0001|31003432W3|8|PC|2000049795|000200|20201226||||||||
O|0180170532|000210|0056|0001|31003432W4|8|PC|2000049795|000210|20201226||||||||
O|0180170532|000220|0056|0001|31003432W6|8|PC|2000049795|000220|20201226||||||||
O|0180170532|000230|0056|0001|31003432W8|8|PC|2000049795|000230|20201226||||||||
O|0180170532|000240|0056|0001|31003432WS|8|PC|2000049795|000240|20201226||||||||
O|0180170532|000250|0056|0001|51001701B1|4|PC|2000049795|000250|20201226||||||||
O|0180170532|000260|0056|0001|51001701B3|4|PC|2000049795|000260|20201226||||||||
O|0180170532|000270|0056|0001|51001701B4|6|PC|2000049795|000270|20201226||||||||
O|0180170532|000280|0056|0001|51001701B5|4|PC|2000049795|000280|20201226||||||||
O|0180170532|000290|0056|0001|51001701B6|6|PC|2000049795|000290|20201226||||||||
O|0180170532|000300|0056|0001|51001701B8|6|PC|2000049795|000300|20201226||||||||
O|0180170532|000310|0056|0001|51500012P1|4|PC|2000049795|000310|20201226||||||||
O|0180170532|000320|0056|0001|51500012P3|4|PC|2000049795|000320|20201226||||||||
O|0180170532|000330|0056|0001|51500012P4|8|PC|2000049795|000330|20201226||||||||
O|0180170532|000340|0056|0001|51500012P6|6|PC|2000049795|000340|20201226||||||||
O|0180170532|000350|0056|0001|51500012P8|4|PC|2000049795|000350|20201226||||||||
O|0180170532|000360|0056|0001|51500012W1|6|PC|2000049795|000360|20201226||||||||
O|0180170532|000370|0056|0001|51500012W3|6|PC|2000049795|000370|20201226||||||||
O|0180170532|000380|0056|0001|51500012W4|9|PC|2000049795|000380|20201226||||||||
O|0180170532|000390|0056|0001|51500012W6|9|PC|2000049795|000390|20201226||||||||
O|0180170532|000400|0056|0001|51500012W8|6|PC|2000049795|000400|20201226||||||||
O|0180170532|000410|0056|0001|51700692FL|8|PC|2000049795|000410|20201226||||||||
O|0180170532|000420|0056|0001|51700692FM|8|PC|2000049795|000420|20201226||||||||
O|0180170532|000430|0056|0001|51700692FS|4|PC|2000049795|000430|20201226||||||||
O|0180170532|000440|0056|0001|51700692FX|4|PC|2000049795|000440|20201226||||||||
O|0180170532|000450|0056|0001|51700692QL|8|PC|2000049795|000450|20201226||||||||
O|0180170532|000460|0056|0001|51700692QM|8|PC|2000049795|000460|20201226||||||||
O|0180170532|000470|0056|0001|51700692QS|4|PC|2000049795|000470|20201226||||||||
O|0180170532|000480|0056|0001|51700692QX|4|PC|2000049795|000480|20201226||||||||
O|0180170532|000490|0056|0001|52300132B1|6|PC|2000049795|000490|20201226||||||||
O|0180170532|000500|0056|0001|52300132B3|6|PC|2000049795|000500|20201226||||||||
O|0180170532|000510|0056|0001|52300132B4|7|PC|2000049795|000510|20201226||||||||
O|0180170532|000520|0056|0001|52300132B5|2|PC|2000049795|000520|20201226||||||||
O|0180170532|000530|0056|0001|52300132B6|9|PC|2000049795|000530|20201226||||||||
O|0180170532|000540|0056|0001|52300132B8|4|PC|2000049795|000540|20201226||||||||
O|0180170532|000550|0056|0001|52300132P1|6|PC|2000049795|000550|20201226||||||||
O|0180170532|000560|0056|0001|52300132P3|4|PC|2000049795|000560|20201226||||||||
O|0180170532|000570|0056|0001|52300132P4|9|PC|2000049795|000570|20201226||||||||
O|0180170532|000580|0056|0001|52300132P5|2|PC|2000049795|000580|20201226||||||||
O|0180170532|000590|0056|0001|52300132P6|9|PC|2000049795|000590|20201226||||||||
O|0180170532|000600|0056|0001|52300132P8|6|PC|2000049795|000600|20201226||||||||
O|0180170532|000610|0056|0001|52600442BL|8|PC|2000049795|000610|20201226||||||||
O|0180170532|000620|0056|0001|52600442BM|8|PC|2000049795|000620|20201226||||||||
O|0180170532|000630|0056|0001|52600442BS|4|PC|2000049795|000630|20201226||||||||
O|0180170532|000640|0056|0001|52600442BX|4|PC|2000049795|000640|20201226||||||||
O|0180170532|000650|0056|0001|52600442NL|6|PC|2000049795|000650|20201226||||||||
O|0180170532|000660|0056|0001|52600442NM|6|PC|2000049795|000660|20201226||||||||
O|0180170532|000670|0056|0001|52600442NS|3|PC|2000049795|000670|20201226||||||||
O|0180170532|000680|0056|0001|52600442NX|3|PC|2000049795|000680|20201226||||||||
