ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3
40633|BVF JN ELIXIR EDP 1.5ML VIAL|BVF|BVLGARI|783320406331|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
40634|BVF MJN EDP 1.5ML VIAL|BVF|BVLGARI|783320406348|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
40635|BVF MJN 1.5ML VIAL|BVF|BVLGARI|783320406355|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
40650|BVF MJN EDP 75ML TS|BVF|BVLGARI|783320406508|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40651|BVF JN EDP 50ML TS|BVF|BVLGARI|783320406515|BVF20|BVLGARI JASMIN NOIR L'ESSENCE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40652|BVF JN SCINTILLATING BALM TS|BVF|BVLGARI|2050000057960|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|20|Bath and Body|120|Bathline (SG, BL, Scrub)|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40653|BVF MJNLE EDT 75ML TS|BVF|BVLGARI|783320406539|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40654|BVF MJNLE B/L 100ML TS|BVF|BVLGARI|783320406546|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40655PS|BVF MJN EDT 10ML PS|BVF|BVLGARI|783320706257|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9060|PRE-SERIES|0|IDR|N|||ID|FC00||
40656|BVF JN ELIXIR EDP 50ML TS|BVF|BVLGARI|783320406560|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
