ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3 
82708|BVF DUMMY LTD 100ML XMAS 07|BVF|BVLGARI|783320824883|BVF30|BVLGARI POUR FEMME - ROSE ESSENTIELLE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
82710|BVF JN DUMMY EDP 100ML|BVF|BVLGARI|783320827105|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
82720|BVF JN MIRROR GWP|BVF|BVLGARI|2050000046476|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
82736|BVF JN POUCH 2010+CTTN BAG GWP|BVF|BVLGARI|783320827365|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|45|Fashion Accessories|255|Fashion Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
82748|BVF ROSE E EDP CAP FOR 100ML TS 1=5|BVF|BVLGARI|783320827488|BVF30|BVLGARI POUR FEMME - ROSE ESSENTIELLE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
82749|BVF ROSE E CAP FOR TESTR 1=5|BVF|BVLGARI|783320827495|BVF30|BVLGARI POUR FEMME - ROSE ESSENTIELLE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
82755|BVF WOMEN 100MLEDP CAP 1=5|BVF|BVLGARI|783320827556|BVF17|BVLGARI FOR WOMEN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
82762|BVF JN CREATIVE SAMPLE 2010|BVF|BVLGARI|783320827624|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9100|SAMPLING SET|0|IDR|Y|||ID|FC00||
82763|BVF JN JEWELLER 100ML DUMMY|BVF|BVLGARI|783320827631|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
82764|BVF JN L ESS MIRROR TAG GWP|BVF|BVLGARI|783320827648|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|45|Fashion Accessories|255|Fashion Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
82769|BVF JN JEWEL CHARM EDP 25ML TS|BVF|BVLGARI|783320827693|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
82770|BVF ROSE E JEWEL CHARM EDP 25ML TS|BVF|BVLGARI|783320827709|BVF30|BVLGARI POUR FEMME - ROSE ESSENTIELLE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
82772|BVF PF JEWEL CHARM EDP 25ML TS|BVF|BVLGARI|783320827723|BVF17|BVLGARI FOR WOMEN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
82775|BVF JN BODY CREAM 5ML TUBE|BVF|BVLGARI|783320827754|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|20|Bath and Body|120|Bathline (SG, BL, Scrub)|9110|TUBE|0|IDR|Y|||ID|FC00||
82776|BVF JN BODY CREAM 200ML TS|BVF|BVLGARI|783320827761|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|20|Bath and Body|120|Bathline (SG, BL, Scrub)|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
82792|BVF JN GIANT DUMMY REPACK|BVF|BVLGARI|2050000072123|BVF20|BVLGARI JASMIN NOIR L'ESSENCE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
83102|BVF POUR HOMME EDT 50ML SPRAY|BVF|BVLGARI|2050000134869|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|0|IDR|Y|||ID|FC00||
83106|BVF PH SOIR EDT 50ML|BVF|BVLGARI|783320831065|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1040000|IDR|Y|||ID|FC00||
83109|BVF POUR HOMME EDT 50ML|BVF|BVLGARI|783320831096|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1040000|IDR|Y|||ID|FC00||
83122|BVF POUR HOMME EDT 30ML SPRAY|BVF|BVLGARI|2050000134876|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|0|IDR|Y|||ID|FC00||
83126|BVF PH SOIR EDT 30ML|BVF|BVLGARI|783320831263|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|840000|IDR|Y|||ID|FC00||
83129|BVF POUR HOMME EDT 30ML|BVF|BVLGARI|783320831294|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|840000|IDR|Y|||ID|FC00||
83153|BVF POUR HOMME EDT 100ML TS|BVF|BVLGARI|2050000119637|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
83154|BVF POUR HOMME EDT 100ML TS|BVF|BVLGARI|783320831546|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
83156|BVF PH SOIR EDT 100ML|BVF|BVLGARI|783320831560|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1450000|IDR|Y|||ID|FC00||
83157|BVF POUR HOMME EDT 100ML TS|BVF|BVLGARI|783320831577|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
83158|BVF PH SOIR EDT 100ML TS|BVF|BVLGARI|783320831584|BVF31|BVLGARI POUR HOMME - SOIR|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
83159|BVF POUR HOMME EDT 100ML|BVF|BVLGARI|783320831591|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1450000|IDR|Y|||ID|FC00||
83256|BVF PH SOIR A/S LOTION 100ML|BVF|BVLGARI|783320832567|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|750000|IDR|Y|||ID|FC00||
83257|BVF POUR HOMME A/S LOTION 100ML|BVF|BVLGARI|783320832574|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|975000|IDR|Y|||ID|FC00||
83259|BVF POUR HOMME A/S LOTION 100ML|BVF|BVLGARI|783320832598|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|885000|IDR|Y|||ID|FC00||
83260|BVF POUR HOMME A/S EMULSION 100ML|BVF|BVLGARI|783320832604|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|675000|IDR|Y|||ID|FC00||
83314|BVF PH EXT EDT 50ML|BVF|BVLGARI|783320833144|BVF21|BVLGARI POUR HOMME EXTREME|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1040000|IDR|Y|||ID|FC00||
83319|BVF PH EXT EDT 50ML|BVF|BVLGARI|783320833199|BVF21|BVLGARI POUR HOMME EXTREME|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1040000|IDR|Y|||ID|FC00||
83364|BVF PH EXT EDT 100ML|BVF|BVLGARI|783320833649|BVF21|BVLGARI POUR HOMME EXTREME|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1450000|IDR|Y|||ID|FC00||
83369|BVF PH EXT EDT 100ML|BVF|BVLGARI|783320833694|BVF21|BVLGARI POUR HOMME EXTREME|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1450000|IDR|Y|||ID|FC00||
83389|BVF PH EXT EDT 30ML|BVF|BVLGARI|783320833892|BVF21|BVLGARI POUR HOMME EXTREME|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|840000|IDR|Y|||ID|FC00||
83522|BVF PH SHAMPOO & S/G 200ML|BVF|BVLGARI|783320835223|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1000|ALL-OVER SHAMPOO|525000|IDR|Y|||ID|FC00||
83523|BVF PH SOIR SHAMPOO & S/G 200ML|BVF|BVLGARI|783320835230|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1000|ALL-OVER SHAMPOO|0|IDR|Y|||ID|FC00||
83524|BVF PH SOIR SHAMPOO & S/G 200ML|BVF|BVLGARI|2050000031892|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1000|ALL-OVER SHAMPOO|525000|IDR|Y|||ID|FC00||
83525|BVF POUR HOMME SHAMPOO & S/G 200ML|BVF|BVLGARI|2050000031861|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1000|ALL-OVER SHAMPOO|0|IDR|Y|||ID|FC00||
83549|BVF POUR HOMME A/S SPLASH 50ML|BVF|BVLGARI|2050000031854|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|0|IDR|Y|||ID|FC00||
83556|BVF PH SOIR A/S SPLASH 100ML|BVF|BVLGARI|783320835568|BVF31|BVLGARI POUR HOMME - SOIR|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|575000|IDR|Y|||ID|FC00||
83561|BVF POUR HOMME DEO SPRY 100ML|BVF|BVLGARI|783320835612|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1340|DEODORANT|0|IDR|Y|||ID|FC00||
83562|BVF POUR HOMME DEODORANT STICK 75G|BVF|BVLGARI|2050000031885|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1340|DEODORANT|350000|IDR|Y|||ID|FC00||
83563|BVF POUR HOMME DEODORANT STICK 75G|BVF|BVLGARI|783320835636|BVF16|BVLGARI FOR MEN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1340|DEODORANT|350000|IDR|Y|||ID|FC00||
83606|BVF PH SOIR EDT 5ML GWP|BVF|BVLGARI|783320836060|BVF31|BVLGARI POUR HOMME - SOIR|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9040|GWP|0|IDR|Y|||ID|FC00||
83609|BVF POUR HOMME 5ML MINI|BVF|BVLGARI|783320836091|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9040|GWP|0|IDR|Y|||ID|FC00||
83618|BVF PH EXT EDT 1.5ML VIAL|BVF|BVLGARI|783320836183|BVF21|BVLGARI POUR HOMME EXTREME|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9120|VIAL|0|IDR|Y|||ID|FC00||
83623|BVF POUR HOMME EDT 1.5ML VIAL|BVF|BVLGARI|783320836237|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9120|VIAL|0|IDR|Y|||ID|FC00||
83625|BVF PH SOIR EDT 1.5ML VIAL|BVF|BVLGARI|783320836251|BVF31|BVLGARI POUR HOMME - SOIR|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9120|VIAL|0|IDR|Y|||ID|FC00||
83629|BVF POUR HOMME EDT 10ML VAPO SAC|BVF|BVLGARI|2050000111983|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9070|MINIATURE|0|IDR|Y|||ID|FC00||
83660|BVF MEN PH EDT 10ML GWP|BVF|BVLGARI|783320836602|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9040|GWP|0|IDR|Y|||ID|FC00||
83661|BVF PH SOIR EDT 10ML GWP|BVF|BVLGARI|783320836619|BVF31|BVLGARI POUR HOMME - SOIR|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9040|GWP|0|IDR|Y|||ID|FC00||
83667|BVF PH EXT EDT 100ML TS|BVF|BVLGARI|783320836671|BVF21|BVLGARI POUR HOMME EXTREME|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
83686|BVF PH SOIR 100ML DUMMY|BVF|BVLGARI|783320836862|BVF31|BVLGARI POUR HOMME - SOIR|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
83748|BVF MEN 100ML EDT CAP 1=5|BVF|BVLGARI|783320837487|BVF16|BVLGARI FOR MEN|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
83749|BVF PH SOIR EDT 100ML TS CAP 1=5|BVF|BVLGARI|783320837494|BVF31|BVLGARI POUR HOMME - SOIR|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
84111|BVF PM EDT WO ALCO 100ML|BVF|BVLGARI|783320841118|BVF29|BVLGARI PETIT MAMAN|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|2081|SCENTED WATER|645000|IDR|Y|||ID|FC00||
84116|BVF PM EDT WO ALCO 100ML TS|BVF|BVLGARI|783320841163|BVF29|BVLGARI PETIT MAMAN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9130|NON-REGULAR TESTER|0|IDR|N|||ID|FC00||
84131|BVF PM EDT W/ALCO 100ML|BVF|BVLGARI|783320841316|BVF29|BVLGARI PETIT MAMAN|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1430|EDT|825000|IDR|Y|||ID|FC00||
84136|BVF PM EDT W/ALCO 100ML TS|BVF|BVLGARI|783320841361|BVF29|BVLGARI PETIT MAMAN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9130|NON-REGULAR TESTER|0|IDR|N|||ID|FC00||
84406|BVF PM 1ST SEMESTER KIT 2011|BVF|BVLGARI|783320844065|BVF29|BVLGARI PETIT MAMAN|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|2450|PRINCIPAL COFF SET|0|IDR|Y|||ID|FC00||
84522|BVF PM GENTLE SHAMPOO & S/G 200ML|BVF|BVLGARI|783320845222|BVF29|BVLGARI PETIT MAMAN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1000|ALL-OVER SHAMPOO|350000|IDR|Y|||ID|FC00||
84552|BVF PM GENTLE B/L 200ML|BVF|BVLGARI|783320845529|BVF29|BVLGARI PETIT MAMAN|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1140|BODY LOTION|375000|IDR|Y|||ID|FC00||
84602|BVF PM EDT WO ALCO 5ML MINI|BVF|BVLGARI|783320846021|BVF29|BVLGARI PETIT MAMAN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
84625|BVF PM EDT 1.5ML VIAL|BVF|BVLGARI|783320846250|BVF29|BVLGARI PETIT MAMAN|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
85102|BVF BLACK EDT 75ML|BVF|BVLGARI|783320851025|BVF05|BVLGARI BLACK|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1190000|IDR|Y|||ID|FC00||
85108|BVF BLACK EDT 75ML TS|BVF|BVLGARI|783320851087|BVF05|BVLGARI BLACK|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
85109|BVF BLACK EDT 75ML|BVF|BVLGARI|783320851094|BVF05|BVLGARI BLACK|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1080000|IDR|Y|||ID|FC00||
85184|BVF BLACK EDT 40ML|BVF|BVLGARI|783320851841|BVF05|BVLGARI BLACK|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1430|EDT|975000|IDR|Y|||ID|FC00||
85189|BVF BLACK EDT 40ML|BVF|BVLGARI|783320851896|BVF05|BVLGARI BLACK|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|885000|IDR|Y|||ID|FC00||
87111|BVF BLVW NOTTE EDP 40ML|BVF|BVLGARI|783320871115|BVF09|BVLGARI BLV NOTTE POUR FEMME|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|0|IDR|Y|||ID|FC00||
87211|BVF BLVW NOTTE EDP 40ML TS|BVF|BVLGARI|783320872112|BVF09|BVLGARI BLV NOTTE POUR FEMME|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
87212|BVF BLVN EDT 75ML TS|BVF|BVLGARI|783320872129|BVF09|BVLGARI BLV NOTTE POUR FEMME|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
87215|BVF BLV EDP 40ML|BVF|BVLGARI|783320872150|BVF08|BVLGARI BLUE WOMEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|850000|IDR|Y|||ID|FC00||
87254|BVF BLV EDP 75ML TS|BVF|BVLGARI|783320872549|BVF08|BVLGARI BLUE WOMEN'S LINE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
87255|BVF BLV EDP 75ML|BVF|BVLGARI|783320872556|BVF08|BVLGARI BLUE WOMEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|1150000|IDR|Y|||ID|FC00||
87551|BVF BLV B/L 150ML|BVF|BVLGARI|783320875519|BVF08|BVLGARI BLUE WOMEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1140|BODY LOTION|550000|IDR|Y|||ID|FC00||
87562|BVF BLV DEO STICK WO ALCOHOL|BVF|BVLGARI|2050000031878|BVF08|BVLGARI BLUE WOMEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1340|DEODORANT|325000|IDR|Y|||ID|FC00||
87600|BVF BLV EDP 5ML MINI|BVF|BVLGARI|783320876004|BVF08|BVLGARI BLUE WOMEN'S LINE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
88108|BVF BLV PH EDT 50ML|BVF|BVLGARI|783320881084|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1040000|IDR|Y|||ID|FC00||
88119|BVF BLV PH EDT 50ML|BVF|BVLGARI|783320881190|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1040000|IDR|Y|||ID|FC00||
88128|BVF BLV PH EDT 30ML|BVF|BVLGARI|783320881282|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|840000|IDR|Y|||ID|FC00||
88129|BVF BLV PH EDT 30ML|BVF|BVLGARI|783320881299|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|840000|IDR|Y|||ID|FC00||
88157|BVF BLV PH EDT 100ML TS|BVF|BVLGARI|783320881572|BVF07|BVLGARI BLUE MEN'S LINE|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
88158|BVF BLV PH EDT 100ML|BVF|BVLGARI|783320881589|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1450000|IDR|Y|||ID|FC00||
88159|BVF BLV PH EDT 100ML|BVF|BVLGARI|783320881596|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|10|Fragrance|100|Fragrance - Men|1430|EDT|1450000|IDR|Y|||ID|FC00||
88258|BVF BLV PH A/S LOTION 100ML|BVF|BVLGARI|783320882586|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|975000|IDR|Y|||ID|FC00||
88522|BVF BLV PH SHAMPOO & S/G 200ML|BVF|BVLGARI|783320885228|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1000|ALL-OVER SHAMPOO|475000|IDR|Y|||ID|FC00||
88547|BVF BLV PH A/S BALM 100ML|BVF|BVLGARI|783320885471|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|725000|IDR|Y|||ID|FC00||
88548|BVF BLV PH A/S EMULSION 100ML|BVF|BVLGARI|783320885488|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|2120|SHAVING|675000|IDR|Y|||ID|FC00||
88563|BVF BLV PH DEO SPRY 100ML|BVF|BVLGARI|783320885631|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1340|DEODORANT|375000|IDR|Y|||ID|FC00||
88564|BVF BVL PH DEO STICK WO 75ML|BVF|BVLGARI|783320885648|BVF07|BVLGARI BLUE MEN'S LINE|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub)|1340|DEODORANT|345000|IDR|Y|||ID|FC00||
88602|BVF BLV PH EDT 5ML MINI|BVF|BVLGARI|783320886027|BVF07|BVLGARI BLUE MEN'S LINE|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9070|MINIATURE|0|IDR|Y|||ID|FC00||
88625|BVF BLV PH EDT 1.5ML VIAL|BVF|BVLGARI|783320886256|BVF10|BVLGARI BLV NOTTE POUR HOMME|ZPOS|LA: POS Material|10|Fragrance|100|Fragrance - Men|9070|MINIATURE|0|IDR|Y|||ID|FC00||
88976|BVF BLV PH 09 BAG GWP|BVF|BVLGARI|783320889769|BVF07|BVLGARI BLUE MEN'S LINE|ZPOS|LA: POS Material|45|Fashion Accessories|260|Fashion Accessories - Men|9040|GWP|0|IDR|Y|||ID|FC00||
89211|BVF OMNIA EDP 40ML|BVF|BVLGARI|783320892110|BVF24|BVLGARI OMNIA (FEMALE)|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|0|IDR|Y|||ID|FC00||
89213|BVF OMNIA EDP 40ML TS|BVF|BVLGARI|2050000058073|BVF24|BVLGARI OMNIA (FEMALE)|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
89251|BVF OMNIA EDP 65ML|BVF|BVLGARI|783320892516|BVF24|BVLGARI OMNIA (FEMALE)|HAWA|LA: Selling Stock|10|Fragrance|110|Fragrance - Women|1420|EDP|0|IDR|Y|||ID|FC00||
89253|BVF OMNIA EDP 65ML TS|BVF|BVLGARI|2050000058202|BVF24|BVLGARI OMNIA (FEMALE)|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
89552|BVF OMNIA BODY LOTION 200ML|BVF|BVLGARI|783320895524|BVF24|BVLGARI OMNIA (FEMALE)|HAWA|LA: Selling Stock|20|Bath and Body|120|Bathline (SG, BL, Scrub, DEO)|1140|BODY LOTION|0|IDR|Y|||ID|FC00||
89671|BVF OMNIA 65ML DUMMY|BVF|BVLGARI|2050000134883|BVF24|BVLGARI OMNIA (FEMALE)|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
90172|BVF EAU BLANCE EDC 75ML|BVF|BVLGARI|783320901720|BVF14|BVLGARI EAU THE BLANCE|HAWA|LA: Selling Stock|10|Fragrance|115|Fragrance - Unisex|1410|EDC|1080000|IDR|Y|||ID|FC00||
90173|BVF EAU PARFUMEE THE BLANC EDC 75ML TS|BVF|BVLGARI|783320901737|BVF14|BVLGARI EAU THE BLANCE|ZPOS|LA: POS Material|10|Fragrance|115|Fragrance - Unisex|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
90182|BVF EAU BLANCE EDC 40ML|BVF|BVLGARI|783320901829|BVF14|BVLGARI EAU THE BLANCE|HAWA|LA: Selling Stock|10|Fragrance|115|Fragrance - Unisex|1410|EDC|860000|IDR|Y|||ID|FC00||
90290|BVF EPTB CHARMS COLL EDP 25ML|BVF|BVLGARI|783320902901|BVF14|BVLGARI EAU THE BLANCE|HAWA|LA: Selling Stock|10|Fragrance|115|Fragrance - Unisex|1420|EDP|0|IDR|Y|||ID|FC00||
90304|BVF EPTB B/L 75ML GWP|BVF|BVLGARI|2050000071720|BVF14|BVLGARI EAU THE BLANCE|ZPOS|LA: POS Material|10|Fragrance|115|Fragrance - Unisex|9040|GWP|0|IDR|Y|||ID|FC00||
